自动ID,场景ID,场景,对话阶段,阶段顺序,人物,内容类型,话题,NPC台词,玩家可选台词,出现条件,选择结果,下一话题,动作/表情备注,设计备注,对话动机,画面表现,玩家因此知道什么,状态写入（不显示）,是否说出口,演出/交互方式
P0001,PRELUDE_HOME,《雾港日报》编辑部·上午,前序·退稿与派活,1,编辑,NPC台词,撤稿、派活、职业失意与同馆前辈之死,编辑：「春和今晚的采访，你去。赵老死后，这条线一直没人接。」\n沈砚舟：「他死前还在跑春和？」,,始终,,前序·春和旧线,,DEC-20260908-34：压缩往复问答，先显示退稿和派活；死亡地点只在下一阶段听到后写入。,,编辑部：电话、打字机、排字房铅字声。画面不显示稿纸说明旁白；桌面直接显示被退回的六号码头稿件：稿纸层叠、红笔删改密集、强结论段落被整段划掉，并有醒目的‘撤’标记。版样被抽走后，采访单与抽屉钥匙压在退稿上。\n版面编辑抽走六号码头稿的版样。编辑把春和采访单压在红笔退稿上。,六号码头稿位被撤；编辑把赵敬文死后无人接的春和采访交给沈砚舟。,player_knowledge += 沈砚舟是记者; player_knowledge += 赵敬文是本埠知名记者; player_knowledge += 春和二十年忌采访归沈砚舟,是,连续剧情；主控发言按钮；场景动作背景UI；退稿稿件UI
P0001B,PRELUDE_HOME,《雾港日报》编辑部·上午,前序·春和旧线,1,编辑,NPC台词,撤稿、派活、职业失意与同馆前辈之死,编辑：「跑了二十年。人也是在那儿没的。」\n沈砚舟：「材料给我看看。这趟跑完，明天还让我接着跑吗？」,,始终,,前序·领取材料,,DEC-20260923-DEMO-CAREER-ARC：保留“他死前还在跑春和？”的死亡钩子；将职业不安并入同一次取材料回应。沈砚舟此刻只争取继续跑春和，不预知这条线会成为大新闻；不出现头版、版面、几栏等价值预告，不增加点击。,,,据编辑所说，赵敬文跑春和二十年，人死在春和附近。,,是,连续剧情；主控发言按钮；场景动作背景UI；退稿稿件UI
P0001C,PRELUDE_HOME,《雾港日报》编辑部·上午,前序·领取材料,1,编辑,NPC台词,撤稿、派活、职业失意与同馆前辈之死,编辑：「在他桌上。十一点半截稿。明天的事，等稿子回来再说。」,,始终,,前序·自由探索,,编辑只给出材料位置与十一点半截稿，不承诺明天的稿位；“明天还让我接着跑”只指春和选题与下一篇稿位，不暗示停职或失去记者身份。,,编辑把抽屉钥匙推过来。,赵敬文的工作桌留有采访材料；末版十一点半截稿。,player_context.current_task=clear_shen_desk,是,连续剧情；主控发言按钮；场景动作背景UI；退稿稿件UI
P0003,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·清桌开始,1,系统,纯画面,清桌任务,,,始终,,前序·自由探索,进入清桌。,家属已带走私人物件，留下报馆材料。当前任务：找到今晚采访所需的原件。,让玩家主动发现材料。,靠窗空椅、桌牌仍在。旧报、采访函留底、工作夹、草图、写满日期的采访本。画面提示：原件 / 速记 两个书签。,赵敬文的工作桌尚未清完；桌上是报馆材料。,player_knowledge += 赵敬文工作桌尚未清完,否,物件查看层；玩家点击“返回房间”关闭
P0012,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索,1,系统,场景探索,清桌自由探索,,,始终,,前序·自由探索选项,正式界面只显示桌面热点，不显示 RPG 菜单。必查原件：演出安排、旧报、采访函、死亡报道、草图。未点击不写入知识。,四个现行工作桌热点全部完成后才开放离开。,桌面热点探索。,赵敬文工作桌俯瞰。工作夹、旧报、采访函留底、死亡报道与草图为热点。,,,否,场景探索 UI；热点可任意顺序点击；已查看热点隐藏
P0003A,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索选项,1,沈砚舟,探索热点,演出安排,,「春和」工作夹,尚未查看“春和工作夹”,记录“已查看春和工作夹”,前序·春和工作夹,必查原件之一。点击后查看今晚演出安排。,必查原件之一。可选情感热点已删除。,取得今晚采访所需的演出安排与采访凭条。,,,choices += C_CHECK_SHOW_FOLDER; show_folder_checked=true,否,场景热点；点击后打开物件查看层
P0015,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·春和工作夹,9,系统,线索查看,春和工作夹,春和戏院\n二十年忌\n\n冬月初七晚八时开锣\n纪念白素秋逝世二十周年\n林怀安领衔《夜渡》,,始终,,前序·自由探索,工作夹内是今晚演出安排与报馆采访席凭条。,按 v6 S01 展示工作夹原件；不承担额外方法说明。,让玩家获得今晚采访的明确时间、纪念缘由与演出信息。,“春和”工作夹摊开；演出安排与采访席凭条并列，右上角标记【原件】。,今晚八时春和戏院举行白素秋逝世二十周年纪念演出，由林怀安领衔《夜渡》。,player_knowledge += 今晚八时春和戏院举行白素秋逝世二十周年纪念演出，由林怀安领衔夜渡,否,物件查看层；玩家点击“返回房间”关闭
P0004,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索选项,1,沈砚舟,探索热点,调查原件,,二十年前的旧报,尚未查看“画满铅笔圈的旧报”,记录“已查看画满铅笔圈的旧报”,前序·旧报发现,,把「白素秋可能有关」留给玩家自己连接。铅笔线旁可隐示「谁说的？」但不点破。,主动查看赵敬文特别标记的旧稿。,,,choices += C_CHECK_MARKED_OLD_REPORT; old_report_checked=true,否,场景热点；点击后打开物件查看层
P0004A,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·旧报发现,1,系统,线索查看,白素秋旧报,,,始终,,前序·自由探索,,旧报只给可观察事实。铅笔新线在「照常经侧台退场」下。,让玩家自己连接地点、署名与铅笔线。,旧报标题：春和名伶白素秋台后失足身亡；署名：赵敬文。「照常经侧台退场」下有一道很新的铅笔线。收入【原件】。,二十年前白素秋在春和演毕《夜渡》后经侧台退场，报道称失足身亡；赵敬文是署名记者；近有人用铅笔重标过这句话。,player_knowledge += 白素秋二十年前在春和失足身亡报道署名为赵敬文; player_questions += Q_WHY_SHEN_REOPENED_OLD_REPORT,否,物件查看层；玩家点击“返回房间”关闭
P0005,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索选项,1,沈砚舟,探索热点,调查原件,,寄给林怀安的采访函留底,尚未查看“赵敬文采访函留底”,记录“已查看赵敬文采访函留底”,前序·函件正文,,发函日期在赵敬文死亡前。点击后直接显示采访函原文；未主动寻找前，不写入“未见回函”。,读取赵敬文死前寄出的采访函留底。,函件封面与报馆发函日期；点击后直接打开正文。,,choices += C_READ_LAST_LETTER; letter_read=true,否,场景热点；点击后直接打开信件查看层
